Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
"772 Alat listrik untuk berganti atau melindungi sirkuit listrik atau untuk membuat koneksi ke atau pada sirkuit listrik (misalnya switch, relay, sekring, penangkal petir, pembatas tegangan, penekan kenaikan tegangan, colokan dan soket, lampu pegangan dan junct",95.56,94.83,97.75,91.7,96.14,93.35,97.5,87.75,88.82,92.92,96.95,100.38,94.5
"773 Peralatan untuk menyalurkan listrik, tidak dirinci",107.04,107.09,108.28,110.49,114.7,112.33,118.47,116.94,120.5,129.67,125.88,127.19,116.61
"775 Peralatan elektronik atau non-elekronik rumah tangga, tidak dirinci",107.59,111.21,114.99,122.57,118.54,115.17,116.62,120.27,124.19,125.76,112.57,116.65,117.35
"778 Mesin dan peralatan listrik, tidak dirinci",132.33,121.96,115.78,122.95,114.96,123.01,120.69,114.32,115.02,126.16,122.2,127.2,121.5
"781 Mobil dan kendaraan bermotor lainnya yang terutama didesain untuk pengangkutan orang (selain kendaraan bermotor untuk pengangkutan sepuluh orang atau lebih, termasuk pengemudi), termasuk stasiun-wagon dan mobil balap",112.63,108.31,103.2,101.48,101.25,101.54,101.21,104.46,104.96,109.08,121.63,107.79,106.98
782 Kendaraan bermotor untuk pengangkutan barang dan kendaraan bermotor tujuan khusus,77.45,103.73,78,84.14,96.94,85.3,77.52,69.31,187.73,75.52,88.51,108.94,94.84
"784 Bagian dan aksesori kendaraan bermotor dari kelompok 722, 781, 782 dan 783",101.02,103.72,96.74,102.09,99.81,103.76,99.42,102.6,103.6,105.92,107.14,105,102.59
"785 Sepeda motor (termasuk moped) dan sepeda, bermotor dan tidak bermotor; gerbong yang tidak valid",110.42,104.08,110.55,115.55,114.12,107.11,113.42,110.23,110.37,116.81,112.96,112.73,111.37
"813 Perlengkapan dan peralatan pencahayaan, tidak dirinci",129.29,98.16,96.83,93.94,91.23,84.2,96.75,79.12,66.86,84.55,93.34,54,86.12
"821 Furnitur dan bagiannya; selimut, kasur, barang pembuat kasur, bantal dan barang perabot sejenisnya",106.21,101.26,103.29,107.22,108.53,117.66,111.72,113.88,111.67,116.56,115.41,114.22,110.8
"831 Bagasi, koper, kotak rias, tas eksekutif, tas sekolah, tempat kacamata, tas teropong, tas kamera, tas alat musik, tas pistol, sarung dan wadah semacamnya; tas bepergian, tas makanan atau minuman, tas toilet",110.99,96.79,105.58,102.33,110.17,109.35,98.57,117.42,105.37,83.68,99.46,95.67,102.3
"841 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",99.83,102.33,112.04,101.56,106.31,89.53,91.04,95.7,102.43,106.36,103.21,110.14,101.34
"842 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",105.93,109.83,107.44,114.04,104.51,97.13,95.17,99.37,97.75,104.83,122.57,106.15,105.57
"843 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",107.73,103.85,101.28,90.21,94.46,86.13,100.79,91.1,105.24,110.99,93.73,106.34,99.18
"844 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",101.69,107.86,108.25,98.19,110.63,106.21,102.39,100.89,99.09,91.73,111.91,106.66,104
"845 Pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak, tidak dirinci",109.3,105.31,105.08,102.48,106.6,106.3,102.67,104.63,106.5,111.18,108.33,108.65,106.52
"846 Aksesoris pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak (selain untuk bayi)",97.23,110.34,100.94,96.06,119.41,106.96,101.73,108.33,121.97,110.31,108.98,115.59,108.62
848 Artikel dari pakaian dan aksesori pakaian selain dari kain tekstil; tutup kepala dari semua bahan,224.35,238.7,240,244.44,234.74,247.95,204.71,205.77,183.3,162.26,148.8,138.95,212.18
851 Alas kaki,103.57,102.97,104.46,104.4,103.09,104.95,111.9,104.39,108.47,97.32,110,100.3,104.69
"872 Instrumen dan peralatan, tidak dirinci, untuk tujuan medis, bedah, perawatan gigi atau kedokteran hewan",116.68,114.71,117.2,103.1,138.69,108.45,118.09,117.08,125.39,112.97,101.03,107.85,114.54
"873 Meter dan counter, tidak dirinci",119.21,113.93,116.27,136.68,114.95,109.45,134.14,122.16,125.08,131.21,110.6,128.12,121.86
"884 Barang-barang optik, tidak dirinci",101.81,110.35,118.35,110.72,118.3,124.21,115.74,113.12,97.4,105.49,99.85,108.13,109.83
"893 Barang dari plastik, tidak dirinci",91.58,127.58,93.2,104.58,99.36,120.55,113.45,97.53,109.46,108.28,101.42,118.68,107.46
"894 Kereta bayi, mainan, game dan barang olahraga",82.49,87.4,87.15,90.56,95.24,86.35,89.43,85.59,88.71,89.74,89.58,92.11,88.68
"895 Persediaan kantor dan alat tulis, tidak dirinci",100.2,103.97,92.36,99.27,97.32,112.42,103.07,95.26,101.97,115.65,109.03,118.59,104.02
"897 Perhiasan, emas dan perak, dan barang lainnya dari bahan mulia atau semi mulia, tidak dirinci",83.71,91.46,96.28,118.88,137.63,132.83,145.1,127.18,124.89,93.67,143.98,95.81,123.86
"898 Alat musik dan bagian dan perlengkapannya; rekaman, kaset dan suara atau mirip rekaman lainnya (tidak termasuk barang dari kelompok 763 dan 883)",103.05,122.04,121.45,105.88,113.36,104.81,111.35,111.17,113.42,111.96,110.82,197.13,119.72
"899 Aneka macam barang produksi yang terpisah, tidak dirinci",94.17,106.43,101.22,114.03,105.82,119.45,107.18,111.45,105.12,108.52,109.84,111.14,107.96
"971 Emas, non-moneter (tidak termasuk bijih emas dan konsentrat)",139.17,135.09,128.95,128.7,139.71,142.91,143.36,148.36,148.71,145.07,148.89,145.44,139.75
TOTAL EKSPOR,101.68,102,105.34,108.41,113.79,113.08,117.67,122.37,126.92,137.1,150.51,145.98,122.29
